id,IATA,ICAO,Airline,Callsign,wikimedia_logo_url
3,,GNL,135 Airways,GENERAL,https://www.flightaware.com/images/airline_logos/180px/GNL.png
4,2T,TBS,Timbis Air,TIMBIS,https://www.flightaware.com/images/airline_logos/180px/TBS.png
5,,TWF,247 Jet Ltd,CLOUD RUNNER,https://www.flightaware.com/images/airline_logos/180px/TWF.png
6,,SEC,3D Aviation,SECUREX,https://www.flightaware.com/images/airline_logos/180px/SEC.png
7,Q5,MLA,40-Mile Air,MILE-AIR,https://www.flightaware.com/images/airline_logos/180px/MLA.png
8,,PIU,43 Air School,PRIMA,https://www.flightaware.com/images/airline_logos/180px/PIU.png
9,4R,SEK,Star East Airline [de; fa; it; pl],EAST RIDER,https://www.flightaware.com/images/airline_logos/180px/SEK.png
10,5W,WAZ,Wizz Air Abu Dhabi,WIZZ SKY,https://www.flightaware.com/images/airline_logos/180px/WAZ.png
11,AQ,JYH,9 Air,TRANS JADE,https://www.flightaware.com/images/airline_logos/180px/JYH.png
12,,BRO,2Excel Aviation,BROADSWORD,https://www.flightaware.com/images/airline_logos/180px/BRO.png
13,,GBT,A-Jet Aviation Aircraft Management,GLOBETROTTER,https://www.flightaware.com/images/airline_logos/180px/GBT.png
14,,AJR,A-Jet Aviation Company,JET MONGOLIA,https://www.flightaware.com/images/airline_logos/180px/AJR.png
15,,SFM,A-Safar Air Services,AIR SAFAR,https://www.flightaware.com/images/airline_logos/180px/SFM.png
16,,AJJ,A2 Jet Leasing,ATLANTIC JET,https://www.flightaware.com/images/airline_logos/180px/AJJ.png
17,,XXV,AASANA,,https://www.flightaware.com/images/airline_logos/180px/XXV.png
18,,BBE,Ababeel Aviation,BABEL AIR,https://www.flightaware.com/images/airline_logos/180px/BBE.png
19,,NKP,Abakan Air,ABAKAN AIR,https://www.flightaware.com/images/airline_logos/180px/NKP.png
20,RL,ABG,Abakan-Avia,ROYAL FLIGHT,https://www.flightaware.com/images/airline_logos/180px/ABG.png
21,,ABE,Aban Air,ABAN,https://www.flightaware.com/images/airline_logos/180px/ABE.png
22,,MRP,Abas,ABAS,https://www.flightaware.com/images/airline_logos/180px/MRP.png
23,,FTY,ABC Bedarfsflug,FLY TYROL,https://www.flightaware.com/images/airline_logos/180px/FTY.png
24,,BDV,Aberdair Aviation,ABERDAV,https://www.flightaware.com/images/airline_logos/180px/BDV.png
25,,ROH,Aberdair Aviation Ghana,,https://www.flightaware.com/images/airline_logos/180px/ROH.png
26,,ABP,ABS Jets,BAIR,https://www.flightaware.com/images/airline_logos/180px/ABP.png
27,M3,TUS,ABSA Cargo,Turismo,https://www.flightaware.com/images/airline_logos/180px/TUS.png
28,,TTN,Absolute Flight Services,TITANIUM,https://www.flightaware.com/images/airline_logos/180px/TTN.png
29,GB,ABX,ABX Air,ABEX,https://www.flightaware.com/images/airline_logos/180px/ABX.png
30,,ACD,Academy Airlines,ACADEMY,https://www.flightaware.com/images/airline_logos/180px/ACD.png
31,,CFM,ACEF,ACEF,https://www.flightaware.com/images/airline_logos/180px/CFM.png
32,,ARO,Acero Taxi,ACERO,https://www.flightaware.com/images/airline_logos/180px/ARO.png
33,,BVR,ACM Air Charter,BAVARIAN,https://www.flightaware.com/images/airline_logos/180px/BVR.png
34,,BJT,ACM Aviation,BAY JET,https://www.flightaware.com/images/airline_logos/180px/BJT.png
35,,CRV,Acropolis Aviation,ACROPOLIS,https://www.flightaware.com/images/airline_logos/180px/CRV.png
36,,AXQ,Action Airlines (Action Air Charter),ACTION AIR,https://www.flightaware.com/images/airline_logos/180px/AXQ.png
37,,AVR,Active Aero Charter, Inc.,https://www.flightaware.com/images/airline_logos/180px/AVR.png
38,,ADC,AD Astra Executive Charter,AD ASTRA,https://www.flightaware.com/images/airline_logos/180px/ADC.png
39,,VUE,AD Aviation,FLIGHTVUE,https://www.flightaware.com/images/airline_logos/180px/VUE.png
40,,DSC,Addis Air Cargo Services,ADDIS CARGO,https://www.flightaware.com/images/airline_logos/180px/DSC.png
41,,ADF,Ade, Aviación Deportiva,https://www.flightaware.com/images/airline_logos/180px/ADF.png
42,,TEC,ADI Shuttle Group,TECHJET,https://www.flightaware.com/images/airline_logos/180px/TEC.png
43,,SWH,Adler Aviation,SHOCKWAVE,https://www.flightaware.com/images/airline_logos/180px/SWH.png
44,,DRO,Adro Servicios Aereos,ADRO SERVICIOS,https://www.flightaware.com/images/airline_logos/180px/DRO.png
45,,AXX,Advance Air Luftfahrtgesellschaft,SKY SHUTTLE,https://www.flightaware.com/images/airline_logos/180px/AXX.png
46,,AAX,Advance Aviation,ADVANCE AVIATION,https://www.flightaware.com/images/airline_logos/180px/AAX.png
47,,XTJ,Advance Aviation Services,,https://www.flightaware.com/images/airline_logos/180px/XTJ.png
48,AN,WSN,Advanced Air,WINGSPAN,https://www.flightaware.com/images/airline_logos/180px/WSN.png
49,,ADD,Advanced Air Co.,,https://www.flightaware.com/images/airline_logos/180px/ADD.png
50,,ADV,Advanced Flight Training,ADVANCED,https://www.flightaware.com/images/airline_logos/180px/ADV.png
51,,DVN,Adventia,,https://www.flightaware.com/images/airline_logos/180px/DVN.png
